accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,brier,model,seed,fold
0.73125,0.72,0.7105263157894737,0.7152317880794702,0.4608512785365715,0.8359962406015038,0.8032358641126337,0.20580024192104823,LR-TFIDF,42,0
0.94375,0.935064935064935,0.9473684210526315,0.9411764705882353,0.887358254542707,0.9899749373433584,0.9892685588586339,0.036632960943944116,LR-SBERT,42,0
0.9875,0.9743589743589743,1.0,0.987012987012987,0.9752742953446232,1.0,1.0,0.0032633166506031023,LR-Structural,42,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00144097663537127,LR-SBERT+Structural,42,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00144649215264544,LR-All,42,0
0.8490566037735849,0.8253968253968254,0.8,0.8125,0.6864705150141477,0.8944353518821604,0.899920294665629,0.19975805902882254,LR-TFIDF,42,1
0.949685534591195,0.9253731343283582,0.9538461538461539,0.9393939393939394,0.896700873189911,0.9865793780687397,0.9823146542874301,0.044981103526977054,LR-SBERT,42,1
1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999996,0.00010024570343237385,LR-Structural,42,1
1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999996,0.0002193264667169299,LR-SBERT+Structural,42,1
1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999996,0.00021972902942140164,LR-All,42,1
0.7639751552795031,0.8769230769230769,0.6551724137931034,0.75,0.5556759115613271,0.8884746815781299,0.9079700210874012,0.2024735865441006,LR-TFIDF,42,2
0.9503105590062112,0.9759036144578314,0.9310344827586207,0.9529411764705882,0.9014904927335694,0.9951848400124262,0.9956431271586318,0.032283855306680605,LR-SBERT,42,2
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00029893658294093497,LR-Structural,42,2
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0002272438859041574,LR-SBERT+Structural,42,2
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0002274731751763619,LR-All,42,2
0.775,0.782608695652174,0.72,0.75,0.5476686769721053,0.8730980392156863,0.8627449310165292,0.20292126285221776,LR-TFIDF,42,3
0.9375,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8745098039215686,0.9821176470588235,0.984908328712334,0.048688123347233526,LR-SBERT,42,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0016859625236662675,LR-Structural,42,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001704090535034071,LR-SBERT+Structural,42,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0017025752134169115,LR-All,42,3
0.7267080745341615,0.8428571428571429,0.6413043478260869,0.7283950617283951,0.48105119936474167,0.8459357277882797,0.8723690557215489,0.20717686972961108,LR-TFIDF,42,4
0.9627329192546584,0.9886363636363636,0.9456521739130435,0.9666666666666667,0.9256349284439844,0.9900756143667298,0.9917725734052736,0.03559402469307048,LR-SBERT,42,4
1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.318796839830336e-05,LR-Structural,42,4
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0010358843423959908,LR-SBERT+Structural,42,4
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0010322502113570833,LR-All,42,4
0.8301886792452831,0.8285714285714286,0.7945205479452054,0.8111888111888111,0.6575040419762631,0.9106403313157057,0.9013022299887252,0.19908846844645736,LR-TFIDF,52,0
0.9685534591194969,0.9594594594594594,0.9726027397260274,0.9659863945578231,0.9368241062151559,0.9969735584581076,0.9963791024263089,0.02219036498599011,LR-SBERT,52,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.000200176535812994,LR-Structural,52,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.00013207961880511368,LR-SBERT+Structural,52,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.00013239894443030944,LR-All,52,0
0.7530864197530864,0.7733333333333333,0.7160493827160493,0.7435897435897436,0.5075672576839418,0.8590153939948179,0.8729796626511921,0.20054242110279696,LR-TFIDF,52,1
0.9506172839506173,0.9620253164556962,0.9382716049382716,0.95,0.9015094183400432,0.9885688157293095,0.9896856750555441,0.03988001535430607,LR-SBERT,52,1
0.9876543209876543,0.9759036144578314,1.0,0.9878048780487805,0.9756060828611426,1.0,1.0,0.006080761714400963,LR-Structural,52,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0012933630190836817,LR-SBERT+Structural,52,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0012955117118002945,LR-All,52,1
0.7453416149068323,0.8771929824561403,0.5952380952380952,0.7092198581560284,0.5267988929085796,0.8365800865800866,0.8764844280974272,0.20512277880122828,LR-TFIDF,52,2
0.9503105590062112,0.9634146341463414,0.9404761904761905,0.9518072289156626,0.9008190544678669,0.9901051329622758,0.9912293122536355,0.039816358438554744,LR-SBERT,52,2
1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0008174406011608135,LR-Structural,52,2
1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.00037728127655674493,LR-SBERT+Structural,52,2
1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.00037867088301275027,LR-All,52,2
0.6855345911949685,0.7619047619047619,0.5783132530120482,0.6575342465753424,0.38904696996766114,0.7791693088142041,0.7604673796936876,0.2170377574250606,LR-TFIDF,52,3
0.9308176100628931,0.9615384615384616,0.9036144578313253,0.9316770186335404,0.8634566307112242,0.9733671528218135,0.9765482713311167,0.0580422698423553,LR-SBERT,52,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,5.358118300812156e-05,LR-Structural,52,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,0.002215924700386991,LR-SBERT+Structural,52,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,0.002216990696530835,LR-All,52,3
0.84375,0.8181818181818182,0.8513513513513513,0.8344370860927153,0.6871046362548686,0.893306096794469,0.8938947287651111,0.20107652720792002,LR-TFIDF,52,4
0.925,0.918918918918919,0.918918918918919,0.918918918918919,0.8491514770584538,0.9798868636077939,0.9782931693845629,0.05794436547661781,LR-SBERT,52,4
1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.301479319788912e-05,LR-Structural,52,4
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.000572572066203802,LR-SBERT+Structural,52,4
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0005704575411344975,LR-All,52,4
0.8490566037735849,0.8518518518518519,0.8518518518518519,0.8518518518518519,0.698005698005698,0.9112060778727447,0.9188089594097981,0.19813505181112762,LR-TFIDF,62,0
0.949685534591195,0.9397590361445783,0.9629629629629629,0.9512195121951219,0.899572593250604,0.98559670781893,0.9847482709705483,0.03878948409267335,LR-SBERT,62,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.00013489920640359158,LR-Structural,62,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.00035948812750856267,LR-SBERT+Structural,62,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.00035994419435714145,LR-All,62,0
0.7484276729559748,0.6190476190476191,0.8666666666666667,0.7222222222222222,0.5276792647483948,0.8683501683501683,0.8290603416868868,0.20548057416511556,LR-TFIDF,62,1
0.9622641509433962,0.921875,0.9833333333333333,0.9516129032258065,0.9220259368097625,0.9927609427609428,0.9867093226788569,0.03306270429354943,LR-SBERT,62,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00038472265670678714,LR-Structural,62,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0002623324494556121,LR-SBERT+Structural,62,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0002616718583607821,LR-All,62,1
0.7018633540372671,0.7868852459016393,0.5783132530120482,0.6666666666666666,0.4240782004537281,0.8378127896200185,0.8260820012701333,0.2108225537646235,LR-TFIDF,62,2
0.9316770186335404,0.95,0.9156626506024096,0.9325153374233128,0.8639803304406781,0.9876428792091443,0.9892334125210399,0.04988504238840661,LR-SBERT,62,2
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00013013052913064062,LR-Structural,62,2
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0011304093059908858,LR-SBERT+Structural,62,2
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0011319349158317418,LR-All,62,2
