accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,brier,model,seed,fold,params,best_epoch
0.98125,0.9620253164556962,1.0,0.9806451612903225,0.9631548522638618,1.0,1.0,0.014200110670258208,FusionNN,42,0,434817,15
1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999996,0.0001845401442801388,FusionNN,42,1,434817,15
0.9813664596273292,0.9883720930232558,0.9770114942528736,0.9826589595375722,0.9626012862866219,0.9996893445169307,0.9997372656409518,0.00931923203747434,FusionNN,42,2,434817,15
0.9875,1.0,0.9733333333333334,0.9864864864864865,0.9751706796279974,1.0,1.0,0.008033324871510544,FusionNN,42,3,434817,15
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006424984927404209,FusionNN,42,4,434817,15
0.9937106918238994,0.9864864864864865,1.0,0.9931972789115646,0.9874288396577277,1.0,1.0000000000000004,0.005812372001097212,FusionNN,52,0,434817,15
0.9814814814814815,0.9642857142857143,1.0,0.9818181818181818,0.9636241116594315,0.9996951684194482,0.9996970271485981,0.013026561789529822,FusionNN,52,1,434817,15
0.9937888198757764,1.0,0.9880952380952381,0.9940119760479041,0.9876372565002549,1.0,1.0,0.001884384612739411,FusionNN,52,2,434817,15
0.9937106918238994,1.0,0.9879518072289156,0.9939393939393939,0.9874822855514376,0.9998414711477488,0.9998565691336778,0.006128467377193187,FusionNN,52,3,434817,15
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0007187737077399246,FusionNN,52,4,434817,15
0.9937106918238994,0.9878048780487805,1.0,0.9938650306748467,0.9874921331056723,0.9996834441278886,0.9996970271485983,0.0058967835158572944,FusionNN,62,0,434817,15
0.9937106918238994,0.9836065573770492,1.0,0.9917355371900827,0.9867477578416703,1.0,1.0,0.0033604651506067523,FusionNN,62,1,434817,15
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006934127490745332,FusionNN,62,2,434817,15
0.99375,1.0,0.9886363636363636,0.9942857142857143,0.9874681765763056,1.0,1.0,0.006143591933242232,FusionNN,62,3,434817,15
0.9876543209876543,0.9764705882352941,1.0,0.9880952380952381,0.975576657085229,0.9998474912307458,0.9998565691336777,0.008925877311010359,FusionNN,62,4,434817,15
0.9875,0.989010989010989,0.989010989010989,0.989010989010989,0.9745182353878006,0.9996814779423475,0.999763677183032,0.01004450938100512,FusionNN,72,0,434817,15
1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.980788034290776e-05,FusionNN,72,1,434817,15
0.9938271604938271,0.9868421052631579,1.0,0.9933774834437086,0.9876735759141194,1.0,0.9999999999999999,0.005069142178160952,FusionNN,72,2,434817,15
0.99375,1.0,0.9878048780487805,0.9938650306748467,0.9875732979546243,1.0,1.0,0.002813949190973112,FusionNN,72,3,434817,15
0.99375,1.0,0.9868421052631579,0.9933774834437086,0.9875384540069388,1.0,1.0,0.007195212606293655,FusionNN,72,4,434817,15
1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.73164942913087e-05,FusionNN,82,0,434817,15
1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.0001083002552666881,FusionNN,82,1,434817,15
0.99375,1.0,0.9871794871794872,0.9935483870967742,0.9875655717056404,1.0,0.9999999999999998,0.005644917825529361,FusionNN,82,2,434817,15
1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.279688268788012e-06,FusionNN,82,3,434817,15
0.9814814814814815,0.9666666666666667,1.0,0.9830508474576272,0.9633275663033837,0.9986206896551724,0.9988240813130894,0.018292794120571887,FusionNN,82,4,434817,15
