accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,brier,template,model,n_test
0.7236842105263158,0.7741935483870968,0.631578947368421,0.6956521739130435,0.455157619711416,0.817174515235457,0.8280204812530301,0.210416742808744,ACCOUNT_NOTICE,LR-TFIDF,76
0.9605263157894737,0.972972972972973,0.9473684210526315,0.96,0.9213717213621486,0.997229916897507,0.9971904836863283,0.02207351745778151,ACCOUNT_NOTICE,LR-SBERT,76
1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.8646264019032708e-05,ACCOUNT_NOTICE,LR-Structural,76
1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,3.936472943521826e-05,ACCOUNT_NOTICE,LR-SBERT+Structural,76
1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,3.946794691520559e-05,ACCOUNT_NOTICE,LR-All,76
1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,3.10911614550557e-05,ACCOUNT_NOTICE,FusionNN,76
0.7,0.9090909090909091,0.4444444444444444,0.5970149253731343,0.46537892099551725,0.8246913580246913,0.8375002275791572,0.2129992041710396,ADMINISTRATOR_DIRECTIVE,LR-TFIDF,90
0.9333333333333333,0.9534883720930233,0.9111111111111111,0.9318181818181818,0.8675239039352517,0.9822222222222222,0.9843968496890512,0.057140232685355404,ADMINISTRATOR_DIRECTIVE,LR-SBERT,90
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00012111919993321693,ADMINISTRATOR_DIRECTIVE,LR-Structural,90
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.000376474792855061,ADMINISTRATOR_DIRECTIVE,LR-SBERT+Structural,90
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00037728107993267244,ADMINISTRATOR_DIRECTIVE,LR-All,90
1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.828239227698857e-05,ADMINISTRATOR_DIRECTIVE,FusionNN,90
0.6794871794871795,0.8181818181818182,0.46153846153846156,0.5901639344262295,0.39886201760873286,0.7902695595003287,0.8173502669949496,0.21686628361472643,DEVELOPER_ACCESS_NOTE,LR-TFIDF,78
0.8076923076923077,0.9,0.6923076923076923,0.782608695652174,0.6324555320336759,0.9322813938198553,0.923871275173318,0.16115787615326965,DEVELOPER_ACCESS_NOTE,LR-SBERT,78
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0005305143570569681,DEVELOPER_ACCESS_NOTE,LR-Structural,78
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002155148135668051,DEVELOPER_ACCESS_NOTE,LR-SBERT+Structural,78
