accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,brier,model,condition
0.9949748743718593,1.0,0.9904761904761905,0.9952153110047847,0.989974810443823,1.0,0.9999999999999998,0.003078780493369285,FusionNN,clean_test
0.5879396984924623,1.0,0.21904761904761905,0.359375,0.34203997133572267,0.9213779128672746,0.9393536951170405,0.3727297867385351,FusionNN,artifact_stripped_test
0.8442211055276382,0.8936170212765957,0.8,0.8442211055276382,0.6936170212765957,0.9127659574468086,0.9175435491505325,0.19096252600572347,LR-TFIDF,clean_test
0.7035175879396985,0.8484848484848485,0.5333333333333333,0.6549707602339181,0.4527288458613412,0.8164133738601822,0.8018102828933932,0.21933030461873929,LR-TFIDF,artifact_stripped_test
0.9195979899497487,0.9405940594059405,0.9047619047619048,0.9223300970873787,0.8397418379255761,0.9823708206686931,0.9870400179139792,0.05815864986602062,LR-SBERT,clean_test
0.7738693467336684,0.9166666666666666,0.6285714285714286,0.7457627118644068,0.5867326813564029,0.930901722391084,0.9422574093851908,0.1819946249806954,LR-SBERT,artifact_stripped_test
1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,7.497450344614669e-05,LR-Structural,clean_test
0.4723618090452261,0.0,0.0,0.0,0.0,0.44113475177304967,0.49296114083091536,0.5247116569644628,LR-Structural,artifact_stripped_test
0.9949748743718593,1.0,0.9904761904761905,0.9952153110047847,0.989974810443823,1.0,0.9999999999999998,0.0029394625030054527,LR-SBERT+Structural,clean_test
0.49748743718592964,1.0,0.047619047619047616,0.09090909090909091,0.15189847525398992,0.9332320162107397,0.9434887412318371,0.42322402574642903,LR-SBERT+Structural,artifact_stripped_test
0.9949748743718593,1.0,0.9904761904761905,0.9952153110047847,0.989974810443823,1.0,0.9999999999999998,0.0029426585690639547,LR-All,clean_test
0.49748743718592964,1.0,0.047619047619047616,0.09090909090909091,0.15189847525398992,0.9332320162107397,0.9434709665060297,0.4230624994759912,LR-All,artifact_stripped_test
