accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,brier,source_domain,model,n_test
0.8,0.6808510638297872,0.9696969696969697,0.8,0.6505480335267569,0.9368149580915538,0.9158879199801011,0.2003294805526644,arxiv.org,LR-TFIDF,80
0.85,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.690522243713733,0.9342359767891683,0.9246175920654163,0.10620637148640788,arxiv.org,LR-SBERT,80
0.9875,1.0,0.9696969696969697,0.9846153846153847,0.9744203145947592,1.0,1.0,0.003266210195164692,arxiv.org,LR-Structural,80
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0019375848576032092,arxiv.org,LR-SBERT+Structural,80
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001936917074038488,arxiv.org,LR-All,80
0.9875,0.9705882352941176,1.0,0.9850746268656716,0.9746473320012842,1.0,1.0,0.015211426553490792,arxiv.org,FusionNN,80
0.9216867469879518,0.8723404255319149,0.9879518072289156,0.9265536723163842,0.8508791170710516,0.9872260124836697,0.9864095122798539,0.1846796655517451,dev.to,LR-TFIDF,166
0.7590361445783133,0.6747967479674797,1.0,0.8058252427184466,0.5912643198561531,0.9287269560168384,0.9253094358377649,0.20667924908744167,dev.to,LR-SBERT,166
1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,4.218278492162831e-05,dev.to,LR-Structural,166
0.9096385542168675,0.8469387755102041,1.0,0.9171270718232044,0.8329931278350429,1.0,1.0000000000000002,0.04786343045057427,dev.to,LR-SBERT+Structural,166
0.9096385542168675,0.8469387755102041,1.0,0.9171270718232044,0.8329931278350429,1.0,1.0000000000000002,0.04793279651224635,dev.to,LR-All,166
0.9216867469879518,0.8645833333333334,1.0,0.9273743016759777,0.8539125638299665,0.9973871389171143,0.9974607759425931,0.06511664020725617,dev.to,FusionNN,166
0.7444444444444445,0.8928571428571429,0.5555555555555556,0.684931506849315,0.5280168968110512,0.9498765432098766,0.9346735391731499,0.1965900958489732,developer.mozilla.org,LR-TFIDF,180
0.95,0.9879518072289156,0.9111111111111111,0.9479768786127167,0.9027346356390192,0.9967901234567902,0.996826155169112,0.043080764247453475,developer.mozilla.org,LR-SBERT,180
1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.00015417345261550661,developer.mozilla.org,LR-Structural,180
1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.00025041738461221297,developer.mozilla.org,LR-SBERT+Structural,180
1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.0002511555942509879,developer.mozilla.org,LR-All,180
0.9777777777777777,1.0,0.9555555555555556,0.9772727272727273,0.9565007145952775,1.0,0.9999999999999998,0.015256237557899854,developer.mozilla.org,FusionNN,180
0.8727272727272727,0.8933333333333333,0.8375,0.864516129032258,0.7461305410675303,0.9413235294117647,0.9398736279503983,0.19390652457774554,docs.python.org,LR-TFIDF,165
0.9818181818181818,0.963855421686747,1.0,0.9815950920245399,0.9642805582603953,0.9997058823529411,0.9996951219512192,0.012226337806802028,docs.python.org,LR-SBERT,165
1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.00040262493920325925,docs.python.org,LR-Structural,165
