accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,brier,model,perturbation_rate
0.9949748743718593,1.0,0.9904761904761905,0.9952153110047847,0.989974810443823,1.0,0.9999999999999998,0.003078780493369285,FusionNN,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.1078745427988686e-05,DistilBERT,0.0
0.9949748743718593,1.0,0.9904761904761905,0.9952153110047847,0.989974810443823,1.0,0.9999999999999998,0.0029426585690639547,LR-All,0.0
0.9849246231155779,0.9903846153846154,0.9809523809523809,0.9856459330143541,0.9698229091264825,0.9993920972644377,0.9994582510876873,0.011185710840056979,FusionNN,0.05
1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.9329401166632284e-05,DistilBERT,0.05
0.9698492462311558,1.0,0.9428571428571428,0.9705882352941176,0.9414274875346026,1.0,0.9999999999999998,0.013957815659248413,LR-All,0.05
0.9698492462311558,0.9541284403669725,0.9904761904761905,0.9719626168224299,0.940146645793816,0.998176291793313,0.9983934481409842,0.021628042899183783,FusionNN,0.1
0.9949748743718593,1.0,0.9904761904761905,0.9952153110047847,0.989974810443823,1.0,1.0000000000000002,0.002780249130771309,DistilBERT,0.1
0.9798994974874372,1.0,0.9619047619047619,0.9805825242718447,0.9605432541283638,1.0,0.9999999999999998,0.015492570036009286,LR-All,0.1
0.8944723618090452,0.8387096774193549,0.9904761904761905,0.9082969432314411,0.8011888846558464,0.9836879432624114,0.9863728276034962,0.09024225328409874,FusionNN,0.2
0.914572864321608,1.0,0.8380952380952381,0.9119170984455959,0.8424596784050319,1.0,1.0,0.05588794902316645,DistilBERT,0.2
0.9396984924623115,1.0,0.8857142857142857,0.9393939393939394,0.8862532053173687,0.9989868287740629,0.9990942193249006,0.03980095221844209,LR-All,0.2
